,Unnamed: 0,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,canceled_rate,total_stay,IsCanceled
15590,15590,Resort Hotel,0,30,2015,July,30,22,1,4,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,164.0,1,0,Check-Out,2015-07-27,0.47719612611459533,5,0
15594,15594,Resort Hotel,0,14,2015,July,30,24,1,2,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,195.0,1,2,Check-Out,2015-07-27,0.2209284392350401,3,0
15606,15606,Resort Hotel,0,26,2015,July,30,20,3,5,2,0.0,0,HB,ESP,Direct,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,194.0,0,0,Check-Out,2015-07-28,0.47719612611459533,8,0
15607,15607,Resort Hotel,0,43,2015,July,30,21,2,5,2,0.0,1,HB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,242.0,0.0,0,Transient,157.37,0,2,Check-Out,2015-07-28,0.2209284392350401,7,0
15608,15608,Resort Hotel,0,42,2015,July,30,20,3,5,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,175.0,0.0,0,Transient,97.7,0,0,Check-Out,2015-07-28,0.47719612611459533,8,0
15611,15611,Resort Hotel,0,50,2015,July,30,21,2,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,147.0,0.0,0,Transient,101.68,0,0,Check-Out,2015-07-28,0.47719612611459533,7,0
15620,15620,Resort Hotel,0,41,2015,July,30,22,2,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0.0,0,Transient,118.19,0,0,Check-Out,2015-07-29,0.47719612611459533,7,0
15629,15629,Resort Hotel,0,74,2015,July,31,27,1,1,3,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,134.0,0.0,0,Transient,144.45,0,1,Check-Out,2015-07-29,0.22017879180086086,2,0
15639,15639,Resort Hotel,0,71,2015,July,31,28,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,120.6,0,0,Check-Out,2015-07-30,0.47719612611459533,2,0
15641,15641,Resort Hotel,0,40,2015,July,30,25,2,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,134.0,0,0,Check-Out,2015-07-30,0.47719612611459533,5,0
15674,15674,Resort Hotel,0,143,2015,July,31,30,2,3,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,1,No Deposit,6.0,0.0,0,Transient-Party,96.3,1,2,Check-Out,2015-08-04,0.2209284392350401,5,0
15676,15676,Resort Hotel,0,47,2015,July,30,25,2,4,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0.0,0,Transient,115.0,0,1,Check-Out,2015-07-31,0.22017879180086086,6,0
15694,15694,Resort Hotel,0,28,2015,July,31,28,0,3,3,0.0,0,BB,ESP,Direct,Direct,0,0,0,1,No Deposit,250.0,0.0,0,Transient,176.0,1,1,Check-Out,2015-07-31,0.22017879180086086,3,0
15696,15696,Resort Hotel,0,0,2015,July,31,28,0,3,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0.0,0,Transient,134.0,0,0,Check-Out,2015-07-31,0.47719612611459533,3,0
15740,15740,Resort Hotel,0,42,2015,July,31,27,1,4,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,134.0,0.0,0,Transient,133.0,0,0,Check-Out,2015-08-01,0.47719612611459533,5,0
15747,15747,Resort Hotel,0,45,2015,July,31,27,1,4,3,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,5.0,0.0,0,Transient,131.2,0,3,Check-Out,2015-08-01,0.17861433720464556,5,0
15748,15748,Resort Hotel,0,29,2015,July,30,25,2,5,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0.0,0,Transient,135.0,0,0,Check-Out,2015-08-01,0.47719612611459533,7,0
15768,15768,Resort Hotel,0,25,2015,July,31,26,2,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,240.0,0.0,0,Transient,183.0,1,2,Check-Out,2015-08-02,0.2209284392350401,7,0
15771,15771,Resort Hotel,0,39,2015,July,31,26,2,5,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,196.0,0.0,0,Transient,133.0,0,1,Check-Out,2015-08-02,0.22017879180086086,7,0
15772,15772,Resort Hotel,0,31,2015,July,31,31,0,2,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,196.0,0.0,0,Transient,107.0,0,0,Check-Out,2015-08-02,0.47719612611459533,2,0
15773,15773,Resort Hotel,0,39,2015,July,31,26,2,5,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,196.0,0.0,0,Transient,133.0,0,1,Check-Out,2015-08-02,0.22017879180086086,7,0
15774,15774,Resort Hotel,0,31,2015,July,31,31,0,2,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,196.0,0.0,0,Transient,107.0,1,0,Check-Out,2015-08-02,0.47719612611459533,2,0
15784,15784,Resort Hotel,0,14,2015,July,31,30,0,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,189.67,0,1,Check-Out,2015-08-02,0.22017879180086086,3,0
15796,15796,Resort Hotel,0,25,2015,July,31,31,0,2,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,1,No Deposit,250.0,0.0,0,Transient,134.0,0,0,Check-Out,2015-08-02,0.47719612611459533,2,0
15801,15801,Resort Hotel,0,33,2015,July,31,27,2,5,2,0.0,1,HB,ESP,Direct,Direct,0,0,0,1,No Deposit,250.0,0.0,0,Transient,145.0,0,1,Check-Out,2015-08-03,0.22017879180086086,7,0
15806,15806,Resort Hotel,0,53,2015,July,31,27,2,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,242.0,0.0,0,Transient,146.56,0,1,Check-Out,2015-08-03,0.22017879180086086,7,0
15809,15809,Resort Hotel,0,31,2015,July,31,31,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,240.0,0.0,0,Transient,140.33,0,1,Check-Out,2015-08-03,0.22017879180086086,3,0
15810,15810,Resort Hotel,0,3,2015,July,31,30,1,3,2,2.0,0,BB,ESP,Direct,Direct,0,0,0,1,No Deposit,250.0,0.0,0,Transient,188.0,0,2,Check-Out,2015-08-03,0.2209284392350401,4,0
15813,15813,Resort Hotel,0,44,2015,August,31,1,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,154.0,0,0,Check-Out,2015-08-03,0.47719612611459533,2,0
15820,15820,Resort Hotel,0,11,2015,July,31,31,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0.0,0,Transient,140.91,0,0,Check-Out,2015-08-03,0.47719612611459533,3,0
15833,15833,Resort Hotel,0,67,2015,August,32,2,2,0,2,0.0,1,BB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,241.0,0.0,0,Transient,137.9,1,2,Check-Out,2015-08-04,0.2209284392350401,2,0
15834,15834,Resort Hotel,0,67,2015,August,32,2,2,0,2,0.0,1,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0.0,0,Transient,137.9,1,1,Check-Out,2015-08-04,0.22017879180086086,2,0
15837,15837,Resort Hotel,0,143,2015,July,31,30,2,3,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,6.0,0.0,0,Transient-Party,90.95,0,1,Check-Out,2015-08-04,0.22017879180086086,5,0
15838,15838,Resort Hotel,0,143,2015,July,31,30,2,3,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,6.0,0.0,0,Transient-Party,90.95,0,1,Check-Out,2015-08-04,0.22017879180086086,5,0
15844,15844,Resort Hotel,0,0,2015,August,32,2,2,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,192.0,0,0,Check-Out,2015-08-04,0.47719612611459533,2,0
15856,15856,Resort Hotel,0,79,2015,July,31,29,2,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,147.0,0.0,0,Transient-Party,112.36,0,1,Check-Out,2015-08-05,0.22017879180086086,7,0
15857,15857,Resort Hotel,0,79,2015,July,31,29,2,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,147.0,0.0,0,Transient-Party,112.36,1,1,Check-Out,2015-08-05,0.22017879180086086,7,0
15900,15900,Resort Hotel,0,82,2015,August,32,2,2,3,3,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,240.0,0.0,0,Transient,227.4,0,3,Check-Out,2015-08-07,0.17861433720464556,5,0
15904,15904,Resort Hotel,0,82,2015,August,32,2,2,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,209.4,1,2,Check-Out,2015-08-07,0.2209284392350401,5,0
15935,15935,Resort Hotel,0,32,2015,August,31,1,2,6,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,176.75,0,0,Check-Out,2015-08-09,0.47719612611459533,8,0
15938,15938,Resort Hotel,0,75,2015,August,32,3,1,5,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,149.0,0.0,0,Transient,123.0,0,2,Check-Out,2015-08-09,0.2209284392350401,6,0
15944,15944,Resort Hotel,0,55,2015,August,32,2,2,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0.0,0,Transient,148.75,0,4,Check-Out,2015-08-09,0.10588235294117647,7,0
15960,15960,Resort Hotel,0,53,2015,August,32,3,1,5,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,3,No Deposit,177.0,0.0,0,Transient,180.0,1,3,Check-Out,2015-08-09,0.17861433720464556,6,0
15961,15961,Resort Hotel,0,53,2015,August,32,3,1,5,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,3,No Deposit,177.0,0.0,0,Transient,180.0,0,3,Check-Out,2015-08-09,0.17861433720464556,6,0
15962,15962,Resort Hotel,0,53,2015,August,32,3,1,5,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,3,No Deposit,177.0,0.0,0,Transient,180.0,1,3,Check-Out,2015-08-09,0.17861433720464556,6,0
15963,15963,Resort Hotel,0,51,2015,August,32,3,1,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,173.0,0,0,Check-Out,2015-08-09,0.47719612611459533,6,0
15964,15964,Resort Hotel,0,0,2015,August,32,8,0,1,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,0.0,0.0,0,Transient,190.0,0,0,Check-Out,2015-08-09,0.47719612611459533,1,0
15969,15969,Resort Hotel,0,55,2015,August,32,2,2,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0.0,0,Transient,148.75,0,4,Check-Out,2015-08-09,0.10588235294117647,7,0
15970,15970,Resort Hotel,0,61,2015,August,32,8,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,183.0,0,0,Check-Out,2015-08-09,0.47719612611459533,1,0
15975,15975,Resort Hotel,0,17,2015,August,32,7,1,2,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,242.0,0.0,0,Transient,223.0,0,0,Check-Out,2015-08-10,0.47719612611459533,3,0
15977,15977,Resort Hotel,0,23,2015,August,32,3,2,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,211.0,0,2,Check-Out,2015-08-10,0.2209284392350401,7,0
15992,15992,Resort Hotel,0,0,2015,August,33,9,1,0,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,0.0,0.0,0,Transient,126.0,0,0,Check-Out,2015-08-10,0.47719612611459533,1,0
15994,15994,Resort Hotel,0,179,2015,August,32,3,2,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,120.6,0,1,Check-Out,2015-08-10,0.22017879180086086,7,0
16011,16011,Resort Hotel,0,83,2015,August,32,7,2,2,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,175.0,0.0,0,Transient-Party,119.2,1,2,Check-Out,2015-08-11,0.2209284392350401,4,0
16020,16020,Resort Hotel,0,61,2015,August,33,9,2,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,134.0,0,0,Check-Out,2015-08-11,0.47719612611459533,2,0
16029,16029,Resort Hotel,0,40,2015,August,33,9,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,172.0,1,2,Check-Out,2015-08-12,0.2209284392350401,3,0
16030,16030,Resort Hotel,0,40,2015,August,33,9,2,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,172.0,0,0,Check-Out,2015-08-12,0.47719612611459533,3,0
16035,16035,Resort Hotel,0,148,2015,August,32,5,2,5,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,6.0,0.0,0,Transient,90.95,0,1,Check-Out,2015-08-12,0.22017879180086086,7,0
16038,16038,Resort Hotel,0,4,2015,August,33,9,2,1,2,2.0,0,BB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,240.0,0.0,0,Transient,187.0,0,3,Check-Out,2015-08-12,0.17861433720464556,3,0
16047,16047,Resort Hotel,1,222,2015,September,38,14,1,1,2,0.0,0,HB,ESP,Groups,TA/TO,0,1,0,0,No Deposit,68.0,0.0,0,Transient-Party,80.0,0,0,Canceled,2015-08-12,0.47719612611459533,2,1
16048,16048,Resort Hotel,1,222,2015,September,38,14,1,1,2,0.0,0,HB,ESP,Groups,TA/TO,0,1,0,0,No Deposit,68.0,0.0,0,Transient-Party,80.0,0,0,Canceled,2015-08-12,0.47719612611459533,2,1
16049,16049,Resort Hotel,1,222,2015,September,38,14,1,1,2,0.0,0,HB,ESP,Groups,TA/TO,0,1,0,0,No Deposit,68.0,0.0,0,Transient-Party,80.0,0,0,Canceled,2015-08-12,0.47719612611459533,2,1
16059,16059,Resort Hotel,0,41,2015,August,33,10,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,202.0,0,1,Check-Out,2015-08-13,0.22017879180086086,3,0
16060,16060,Resort Hotel,0,34,2015,August,33,9,2,2,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,221.0,0,2,Check-Out,2015-08-13,0.2209284392350401,4,0
16061,16061,Resort Hotel,0,109,2015,August,32,2,4,7,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,134.0,1,2,Check-Out,2015-08-13,0.2209284392350401,11,0
16066,16066,Resort Hotel,0,0,2015,August,33,11,0,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,191.0,0,1,Check-Out,2015-08-13,0.22017879180086086,2,0
16071,16071,Resort Hotel,0,85,2015,August,32,7,2,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,147.0,0.0,0,Transient,114.14,0,2,Check-Out,2015-08-14,0.2209284392350401,7,0
16072,16072,Resort Hotel,0,85,2015,August,32,7,2,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,147.0,0.0,0,Transient,114.14,0,2,Check-Out,2015-08-14,0.2209284392350401,7,0
16074,16074,Resort Hotel,0,65,2015,August,32,8,2,4,2,0.0,0,HB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0.0,0,Transient,209.0,0,1,Check-Out,2015-08-14,0.22017879180086086,6,0
16076,16076,Resort Hotel,0,49,2015,August,33,10,1,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,173.0,0,0,Check-Out,2015-08-14,0.47719612611459533,4,0
16078,16078,Resort Hotel,0,21,2015,August,33,10,1,3,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,241.0,0,1,Check-Out,2015-08-14,0.22017879180086086,4,0
16079,16079,Resort Hotel,0,67,2015,August,32,8,2,4,2,0.0,0,HB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0.0,0,Transient,167.17,0,1,Check-Out,2015-08-14,0.22017879180086086,6,0
16092,16092,Resort Hotel,0,33,2015,August,32,8,2,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,242.0,0.0,0,Transient,243.0,0,0,Check-Out,2015-08-15,0.47719612611459533,7,0
16094,16094,Resort Hotel,0,34,2015,August,33,9,2,4,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,240.0,0.0,0,Transient,253.0,1,2,Check-Out,2015-08-15,0.2209284392350401,6,0
16099,16099,Resort Hotel,0,41,2015,August,33,9,2,4,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,232.0,1,0,Check-Out,2015-08-15,0.47719612611459533,6,0
16100,16100,Resort Hotel,0,40,2015,August,33,10,1,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,192.0,0,1,Check-Out,2015-08-15,0.22017879180086086,5,0
16111,16111,Resort Hotel,0,62,2015,August,33,9,2,4,2,2.0,0,BB,ESP,Direct,Direct,0,0,0,1,No Deposit,0.0,108.0,0,Transient,152.1,0,0,Check-Out,2015-08-15,0.47719612611459533,6,0
16121,16121,Resort Hotel,0,90,2015,August,33,11,0,5,2,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0.0,0,Transient,196.34,1,2,Check-Out,2015-08-16,0.2209284392350401,5,0
16122,16122,Resort Hotel,0,90,2015,August,33,11,0,5,2,1.0,0,HB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,241.0,0.0,0,Transient,179.63,1,2,Check-Out,2015-08-16,0.2209284392350401,5,0
16123,16123,Resort Hotel,0,89,2015,August,33,11,0,5,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0.0,0,Transient,176.0,1,0,Check-Out,2015-08-16,0.47719612611459533,5,0
16138,16138,Resort Hotel,0,48,2015,August,33,10,1,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,183.0,0,0,Check-Out,2015-08-16,0.47719612611459533,6,0
16139,16139,Resort Hotel,0,69,2015,August,33,10,1,5,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,196.0,0.0,0,Transient,135.0,0,1,Check-Out,2015-08-16,0.22017879180086086,6,0
16140,16140,Resort Hotel,0,48,2015,August,33,10,1,5,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,149.0,0.0,0,Transient,149.0,0,1,Check-Out,2015-08-16,0.22017879180086086,6,0
16143,16143,Resort Hotel,0,86,2015,August,33,12,0,4,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,134.0,0.0,0,Transient,133.0,0,1,Check-Out,2015-08-16,0.22017879180086086,4,0
16145,16145,Resort Hotel,0,38,2015,August,33,13,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,171.9,0,1,Check-Out,2015-08-16,0.22017879180086086,3,0
16152,16152,Resort Hotel,0,62,2015,August,33,9,2,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,173.0,0,1,Check-Out,2015-08-16,0.22017879180086086,7,0
16164,16164,Resort Hotel,0,45,2015,August,33,15,1,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,202.0,0,1,Check-Out,2015-08-17,0.22017879180086086,2,0
16170,16170,Resort Hotel,0,2,2015,August,34,16,1,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,241.0,0.0,0,Transient,118.58,0,0,Check-Out,2015-08-17,0.47719612611459533,1,0
16190,16190,Resort Hotel,0,71,2015,August,33,11,2,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,147.0,0.0,0,Transient,87.9,0,2,Check-Out,2015-08-18,0.2209284392350401,7,0
16191,16191,Resort Hotel,0,20,2015,August,34,16,2,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,201.5,0,2,Check-Out,2015-08-18,0.2209284392350401,2,0
16192,16192,Resort Hotel,0,68,2015,August,33,10,3,5,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,196.0,0.0,0,Transient,133.0,0,1,Check-Out,2015-08-18,0.22017879180086086,8,0
16196,16196,Resort Hotel,0,0,2015,August,34,17,1,0,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,153.0,0,0,Check-Out,2015-08-18,0.47719612611459533,1,0
16197,16197,Resort Hotel,0,74,2015,August,33,15,2,1,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,147.0,0.0,0,Transient,127.26,0,1,Check-Out,2015-08-18,0.22017879180086086,3,0
16204,16204,Resort Hotel,0,64,2015,August,33,14,2,3,3,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,142.0,0.0,0,Transient,168.28,1,2,Check-Out,2015-08-19,0.2209284392350401,5,0
16205,16205,Resort Hotel,0,95,2015,August,33,15,2,2,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,240.0,0.0,0,Transient,166.0,0,1,Check-Out,2015-08-19,0.22017879180086086,4,0
16219,16219,Resort Hotel,0,79,2015,August,33,13,2,5,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,134.0,0.0,0,Transient,107.0,0,0,Check-Out,2015-08-20,0.47719612611459533,7,0
16220,16220,Resort Hotel,0,63,2015,August,34,17,1,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,240.0,0.0,0,Transient,173.0,0,0,Check-Out,2015-08-20,0.47719612611459533,3,0
16226,16226,Resort Hotel,0,167,2015,August,34,16,2,2,2,0.0,0,FB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,156.0,0.0,0,Contract,143.1,0,0,Check-Out,2015-08-20,0.47719612611459533,4,0
16228,16228,Resort Hotel,0,10,2015,August,34,16,2,2,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,167.25,0,2,Check-Out,2015-08-20,0.2209284392350401,4,0
16238,16238,Resort Hotel,0,2,2015,August,34,19,0,1,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,137.7,1,1,Check-Out,2015-08-20,0.22017879180086086,1,0
16241,16241,Resort Hotel,0,70,2015,August,34,17,1,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,147.0,0.0,0,Transient,87.91,0,1,Check-Out,2015-08-21,0.22017879180086086,4,0
16245,16245,Resort Hotel,0,75,2015,August,33,12,2,7,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,149.0,0.0,0,Transient,133.0,1,1,Check-Out,2015-08-21,0.22017879180086086,9,0
16247,16247,Resort Hotel,0,64,2015,August,33,14,2,5,3,0.0,0,HB,ESP,Direct,Direct,0,0,0,1,No Deposit,0.0,0.0,0,Transient-Party,229.0,0,1,Check-Out,2015-08-21,0.22017879180086086,7,0
16267,16267,Resort Hotel,0,68,2015,August,34,16,2,4,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,208.0,1,0,Check-Out,2015-08-22,0.47719612611459533,6,0
16283,16283,Resort Hotel,0,10,2015,August,34,17,1,4,2,0.0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,142.0,0.0,0,Contract,191.6,0,0,Check-Out,2015-08-22,0.47719612611459533,5,0
16284,16284,Resort Hotel,0,90,2015,August,34,16,2,4,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,15.0,0.0,0,Transient-Party,107.0,0,1,Check-Out,2015-08-22,0.22017879180086086,6,0
16285,16285,Resort Hotel,0,90,2015,August,34,16,2,4,2,0.0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,0,No Deposit,15.0,0.0,0,Transient-Party,107.0,0,1,Check-Out,2015-08-22,0.22017879180086086,6,0
16286,16286,Resort Hotel,0,83,2015,August,34,17,1,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,134.0,0,1,Check-Out,2015-08-22,0.22017879180086086,5,0
16299,16299,Resort Hotel,0,120,2015,August,34,20,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,164.0,0,1,Check-Out,2015-08-23,0.22017879180086086,3,0
16300,16300,Resort Hotel,0,120,2015,August,34,20,0,3,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,164.0,0,1,Check-Out,2015-08-23,0.22017879180086086,3,0
16303,16303,Resort Hotel,0,115,2015,August,34,16,2,5,2,0.0,0,HB,ESP,Online TA,TA/TO,0,0,0,1,No Deposit,240.0,0.0,0,Transient,196.0,0,1,Check-Out,2015-08-23,0.22017879180086086,7,0
16308,16308,Resort Hotel,0,13,2015,August,34,18,0,5,2,0.0,0,BB,ESP,Direct,Direct,0,0,0,0,No Deposit,250.0,0.0,0,Transient,229.0,0,0,Check-Out,2015-08-23,0.47719612611459533,5,0
16309,16309,Resort Hotel,0,11,2015,August,34,19,0,4,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,196.75,0,1,Check-Out,2015-08-23,0.22017879180086086,4,0
16310,16310,Resort Hotel,0,71,2015,August,34,18,0,5,2,0.0,0,BB,ESP,Online TA,TA/TO,0,0,0,0,No Deposit,240.0,0.0,0,Transient,164.0,0,0,Check-Out,2015-08-23,0.47719612611459533,5,0
